underlying_price,strike,maturity,volatility,option_type,market_price,bid,ask,volume,open_interest,expiration,moneyness,bs_price,risk_free_rate
272.14,260.0,0.021917808219178082,0.3136054968261719,put,1.4249999999999998,1.41,1.44,1734.0,1816,2026-03-06,0.9553906077754097,1.015501324475693,0.05
272.14,262.5,0.021917808219178082,0.305671005859375,put,1.745,1.6,1.89,603.0,658,2026-03-06,0.9645770559270964,1.3994543890543127,0.05
272.14,265.0,0.021917808219178082,0.29053443847656246,put,2.3,2.25,2.35,1708.0,2010,2026-03-06,0.973763504078783,1.8126188816653581,0.05
272.14,267.5,0.021917808219178082,0.2825999475097656,put,2.9349999999999996,2.82,3.05,565.0,662,2026-03-06,0.9829499522304697,2.457692218639906,0.05
272.14,270.0,0.021917808219178082,0.27075924560546877,put,3.8,3.75,3.85,1889.0,3232,2026-03-06,0.9921364003821563,3.2228196064079526,0.05
272.14,272.5,0.021917808219178082,0.2623975128173829,put,4.85,4.8,4.9,1609.0,103,2026-03-06,1.001322848533843,4.248604420849745,0.05
272.14,275.0,0.021917808219178082,0.2563550927734375,put,6.1,6.0,6.2,1843.0,7502,2026-03-06,1.0105092966855296,5.544156699916073,0.05
272.14,277.5,0.021917808219178082,0.2797923583984374,put,7.85,7.5,8.2,204.0,31,2026-03-06,1.0196957448372161,7.507495479345323,0.05
272.14,280.0,0.021917808219178082,0.30493859130859374,put,9.774999999999999,9.2,10.35,1462.0,168,2026-03-06,1.028882192988903,9.632016618531537,0.05
272.14,285.0,0.021917808219178082,0.3225165405273437,put,13.175,11.9,14.45,56.0,31,2026-03-06,1.047255089292276,13.777973216480689,0.05
272.14,210.0,0.0410958904109589,0.7153348779296875,call,62.85,61.25,64.45,16.0,23,2026-03-13,0.7716616447416771,63.06240656265524,0.05
272.14,230.0,0.0410958904109589,0.5451705639648439,call,42.625,42.1,43.15,272.0,32,2026-03-13,0.8451532299551702,43.34831978568488,0.05
272.14,235.0,0.0410958904109589,0.6093789062500001,call,38.125,36.9,39.35,273.0,13,2026-03-13,0.8635261262585434,39.35522705924558,0.05
272.14,240.0,0.0410958904109589,0.481450498046875,call,32.85,32.1,33.6,5.0,79,2026-03-13,0.8818990225619167,33.74527539025016,0.05
272.14,255.0,0.0410958904109589,0.41431249755859373,call,19.3,18.25,20.35,103.0,485,2026-03-13,0.9370177114720365,20.323657091394125,0.05
272.14,260.0,0.0410958904109589,0.3781800463867187,call,15.2,14.35,16.05,87.0,645,2026-03-13,0.9553906077754097,15.987008199850578,0.05
272.14,265.0,0.0410958904109589,0.30548790222167965,call,11.125,11.05,11.2,333.0,1646,2026-03-13,0.973763504078783,11.165663991976118,0.05
272.14,270.0,0.0410958904109589,0.28601788208007806,call,7.725,7.65,7.8,1305.0,1968,2026-03-13,0.9921364003821563,7.702016208308692,0.05
272.14,275.0,0.0410958904109589,0.27082028015136717,call,4.824999999999999,4.6,5.05,1744.0,4467,2026-03-13,1.0105092966855296,4.907025442408923,0.05
272.14,280.0,0.0410958904109589,0.25476819458007816,call,2.885,2.85,2.92,1102.0,3891,2026-03-13,1.028882192988903,2.766293583202838,0.05
272.14,285.0,0.0410958904109589,0.2461012890625,call,1.54,1.51,1.57,7659.0,14246,2026-03-13,1.047255089292276,1.4342628175836083,0.05
272.14,290.0,0.0410958904109589,0.25501233276367197,call,0.845,0.74,0.95,649.0,3105,2026-03-13,1.0656279855956494,0.830890528248986,0.05
272.14,295.0,0.0410958904109589,0.24048611083984373,call,0.365,0.35,0.38,393.0,3696,2026-03-13,1.0840008818990226,0.3114383413523978,0.05
272.14,300.0,0.0410958904109589,0.24414818359375,call,0.175,0.16,0.19,1676.0,2312,2026-03-13,1.102373778202396,0.14523584537429368,0.05
272.14,305.0,0.0410958904109589,0.25489026367187506,call,0.095,0.08,0.11,203.0,555,2026-03-13,1.120746674505769,0.07991283819540307,0.05
272.14,215.0,0.0410958904109589,0.49805189453125004,put,0.115,0.1,0.13,96.0,289,2026-03-13,0.7900345410450503,0.07595705919298679,0.05
272.14,220.0,0.0410958904109589,0.46924358886718753,put,0.15000000000000002,0.14,0.16,34.0,634,2026-03-13,0.8084074373484237,0.09626923678158272,0.05
272.14,225.0,0.0410958904109589,0.44434149414062496,put,0.2,0.19,0.21,97.0,666,2026-03-13,0.8267803336517969,0.1307648476694081,0.05
272.14,230.0,0.0410958904109589,0.42236905761718746,put,0.28,0.27,0.29,110.0,441,2026-03-13,0.8451532299551702,0.18706063242046422,0.05
272.14,235.0,0.0410958904109589,0.40015248291015626,put,0.385,0.37,0.4,41.0,638,2026-03-13,0.8635261262585434,0.2681545262303384,0.05
272.14,240.0,0.0410958904109589,0.37695935546875,put,0.54,0.53,0.55,332.0,956,2026-03-13,0.8818990225619167,0.382111864809799,0.05
272.14,245.0,0.0410958904109589,0.3745179736328125,put,0.85,0.75,0.95,113.0,630,2026-03-13,0.90027191886529,0.7008166581284989,0.05
